offset_ms,latitude,longitude,accuracy_metres
0,59.94858,10.62000,5.0
1000,59.94870,10.62000,4.8
2000,59.94884,10.61999,4.5
3000,59.94900,10.61998,4.5
4000,59.94918,10.61997,4.2
5000,59.94936,10.61996,4.0
6000,59.94955,10.61993,4.0
7000,59.94974,10.61996,3.8
8000,59.94992,10.62000,3.6
9000,59.95010,10.62003,3.7
10000,59.95030,10.62006,3.8
11000,59.95048,10.62007,3.6
12000,59.95065,10.62006,3.5
13000,59.95082,10.62004,3.4
14000,59.95100,10.62002,3.3
15000,59.95116,10.62001,3.2
16000,59.95128,10.62000,3.0
17000,59.95137,10.62000,2.9
18000,59.95143,10.62000,2.8
20000,59.95143,10.62000,2.8
